Date,Bus,Ferry,Light Rail,Metro,Train,Unallocated,Total_Trips,Year,Total_Population,Per_Capita_Trips,Population_YoY_Growth,Trips_YoY_Growth,Trips_MoM_Change,Trips_MoM_Pct_Change,Log_Total_Trips,Log_Population,Bus_Proportion,Bus_Per_Capita,Ferry_Proportion,Ferry_Per_Capita,Light Rail_Proportion,Light Rail_Per_Capita,Metro_Proportion,Metro_Per_Capita,Train_Proportion,Train_Per_Capita,Time_Index,Month,Quarter,Season,COVID_Flag,Post_COVID_Recovery
2020-02-01,25206493.0,1063308.0,1950759.0,1900095.0,30168810.0,0.0,60289465.0,2020,16221220.0,3716.7034908595037,0.7936373799701357,0.33587937539836243,3191295.0,5.589137094936669,17.91466793664947,16.60183081960596,41.80911706547736,1553.9209134701334,1.763671314714768,65.5504333212915,3.235654852800568,120.25969686620365,3.151620270639323,117.13638061748746,50.03993649636798,1859.8360665843877,43,2,1,1,0,0
2020-03-01,19191569.0,677265.0,1264683.0,1408500.0,22506278.0,0.0,45048295.0,2020,16221220.0,2777.1212646151153,0.7936373799701357,-33.34405540823451,-15241170.0,-25.279988800696774,17.623245694465563,16.60183081960596,42.602209473188715,1183.115018475799,1.5034198297627024,41.75179178878038,2.8073937093512638,77.96472768386101,3.1266444157320494,86.83070693819576,49.96033257196527,1387.459019728479,44,3,1,2,1,0
2020-04-01,5504822.0,91230.0,232032.0,262852.0,6095725.0,0.0,12186661.0,2020,16221220.0,751.2789420277884,0.7936373799701357,-79.54946282158576,-32861634.0,-72.9475643861771,16.315852550892945,16.60183081960596,45.170879866109345,339.3593083627495,0.7486053809160689,5.624114585709337,1.9039833798609809,14.304226192604501,2.156882841001321,16.204206588653626,50.019648532112285,375.7870862980713,45,4,2,2,1,0
2020-05-01,8549735.0,203728.0,443833.0,449327.0,9323674.0,0.0,18970297.0,2020,16221220.0,1169.4741209354167,0.7936373799701357,-72.28569839078119,6783636.0,55.66443507372527,16.758384998088058,16.60183081960596,45.06906244008726,527.0710217850445,1.0739315256898718,12.55935126950994,2.339620723913811,27.361258894213876,2.36858178867732,27.69995105177046,49.14880352163174,574.7825379348778,46,5,2,2,1,0
2020-06-01,12386023.0,377351.0,772279.0,795627.0,13762670.0,0.0,28093950.0,2020,16221220.0,1731.925835418051,0.7936373799701357,-53.30392675548145,9123653.0,48.09441307112905,17.15106480863196,16.60183081960596,44.08786589283458,763.5691396824653,1.3431753099866697,23.26280020861563,2.74891569181265,47.609181060364136,2.8320225528984,49.04853025851323,48.9880205524677,848.4361842080929,47,6,2,3,1,0
2020-07-01,13132371.0,463754.0,994370.0,943774.0,15446904.0,0.0,30981173.0,2020,16221220.0,1909.9163318172123,0.7936373799701357,-51.3450587406863,2887223.0,10.277027616266142,17.248890255373713,16.60183081960596,42.38823042626566,809.5797356795605,1.49688974010119,28.58934161548885,3.209594420456579,61.3005680213942,3.046282334113043,58.18144381248759,49.859003079063534,952.2652426882812,48,7,3,3,1,0
2020-08-01,13107189.0,369977.0,965468.0,948902.0,14385299.0,0.0,29776835.0,2020,16221220.0,1835.6717312261346,0.7936373799701357,-54.924335786987676,-1204338.0,-3.8873221488418097,17.209241300189948,16.60183081960596,44.01807310951617,808.0273247018412,1.2424994127146154,22.808210479852935,3.2423459377062738,59.51882780703301,3.1867120867614034,58.49757293224554,48.31036945330153,886.819795305162,49,8,3,3,1,0
2020-09-01,13690626.0,441991.0,1059605.0,1003812.0,15556289.0,0.0,31752323.0,2020,16221220.0,1957.4559126872084,0.7936373799701357,-49.7177129304609,1975488.0,6.634311537811177,17.27347644598085,16.60183081960596,43.116927224505744,843.9948413251285,1.3919957919299322,27.24770393348959,3.337094422981273,65.32215209460202,3.161381294842585,61.88264507848361,48.99260126574047,959.0085702555048,50,9,3,4,1,0
2020-10-01,14059038.0,560732.0,1277545.0,1052802.0,16502457.0,0.0,33452574.0,2020,16221220.0,2062.272381485486,0.7936373799701357,-49.47398180271028,1700251.0,5.354729479162823,17.325639292250607,16.60183081960596,42.026774980006024,866.7065732417167,1.6761998643213525,34.56780686039644,3.818973690933319,78.75763968431475,3.147147959376758,64.90276317071095,49.33090350536254,1017.3375985283475,51,10,4,4,1,0
2020-11-01,14809745.0,529113.0,1391815.0,1162246.0,17317270.0,0.0,35210189.0,2020,16221220.0,2170.625205749013,0.7936373799701357,-46.22881703940847,1757615.0,5.254050106876673,17.37684605891007,16.60183081960596,42.060964228280625,912.985891320135,1.5027269521330886,32.61856999658472,3.952875686069166,85.80211599374154,3.3008797538689723,71.6497279489459,49.18255337964815,1067.5689004896055,52,11,4,4,1,0
